com.samsung.health.user_profile,6210049,8
text_value,float_value,update_time,create_time,long_value,key,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
KOR,,2021-03-03 10:28:58.330,1970-01-01 00:00:00.001,,country,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000001,
19950214,,2020-11-06 06:46:17.228,2020-11-06 06:46:17.263,,birth_date,,,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000a,
kg,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,weight_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000007,
mmHg,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,blood_pressure_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000013,
,,2019-02-28 10:34:03.403,2019-02-28 10:34:03.456,,food_auto_fill,,0,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000001b,
,178.8,2020-11-06 06:46:17.220,2021-03-03 10:28:58.858,,height,,,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000008,
km,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,distance_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000c,
앤드류,,2020-11-06 06:45:52.976,2020-11-06 06:45:52.984,,name,,,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000004,
821037277349,,2021-04-27 07:20:50.222,2021-04-27 07:20:50.226,,phone_number,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000021,
mg/dL,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,blood_glucose_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000e,
M,,2020-11-06 06:46:17.223,2020-11-06 06:46:17.249,,gender,,,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000005,
49868338,,2021-04-27 07:20:52.381,2021-04-27 07:20:52.384,,social_id,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000015,
%,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,hba1c_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000012,
,,2021-12-09 08:04:16.353,2019-01-20 01:57:36.799,,dashboard_config,00000000-0000-0000-0000-000000000016.dashboard_config.json,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000016,
,95.0,2020-11-06 06:46:17.221,2021-03-03 10:28:57.303,,weight,,,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000006,
cm,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,height_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000009,
ml,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,water_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000014,
,,2021-02-15 00:56:06.921,2020-10-16 00:48:33.934,,step_calibration,00000000-0000-0000-0000-000000000017.step_calibration.json,,m6sL7dLFqc,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000017,
,,2020-11-06 06:46:20.012,2021-03-03 10:29:01.260,,activity_type,,180003,2lBdpDiteS,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000b,
C,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,temperature_unit,,,Nz95nEBsYs,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000d,
