com.samsung.shealth.food_frequent,6210049,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2019-01-12 06:06:13.097,2019-01-12 06:06:13.097,0.99,0.99,0.99,2lBdpDiteS,com.sec.android.app.shealth,0.99,dec0b9af-f696-4d1b-a4f0-61acce4dd975,25022db6-e4f2-4929-b22e-3b119054ee2e,0.99,
0.75,2019-01-12 06:06:13.101,2019-01-12 06:06:13.101,0.75,0.75,0.75,2lBdpDiteS,com.sec.android.app.shealth,0.75,60988b40-16a0-414d-9e7e-e7b019bb6b01,47a085c0-6566-47c5-8eff-3519e97b0dc7,0.75,
0.95,2019-01-12 06:06:13.098,2019-01-12 06:06:13.098,0.95,0.95,0.95,2lBdpDiteS,com.sec.android.app.shealth,0.95,d4ad6fa4-adfe-4c02-82c3-cf25787eb32f,a5a4371b-ad25-4e62-83a5-8096bf9ee464,0.95,
0.71,2019-01-12 06:06:13.102,2019-01-12 06:06:13.102,0.71,0.71,0.71,2lBdpDiteS,com.sec.android.app.shealth,0.71,3c007e11-234c-402b-bbeb-26ac06d613da,4343c3ba-958f-4e10-8976-66bb45132b4d,0.71,
0.91,2019-01-12 06:06:13.099,2019-01-12 06:06:13.099,0.91,0.91,0.91,2lBdpDiteS,com.sec.android.app.shealth,0.91,9d11f17d-2d1c-4589-8030-ac91f49ec45f,ced14be9-f336-4839-891c-6ef734f234cd,0.91,
0.67,2019-01-12 06:06:13.102,2019-01-12 06:06:13.102,0.67,0.67,0.67,2lBdpDiteS,com.sec.android.app.shealth,0.67,758a72b4-b91b-4b27-aa66-bb5e2d56f2c0,d7fe4add-afff-449a-8de6-1e64e5eddf97,0.67,
0.87,2019-01-12 06:06:13.099,2019-01-12 06:06:13.099,0.87,0.87,0.87,2lBdpDiteS,com.sec.android.app.shealth,0.87,471c9c8d-09c8-462d-b2ec-acde4dd45a45,fd201767-3198-4424-8e53-873881d9a021,0.87,
0.63,2019-01-12 06:06:13.102,2019-01-12 06:06:13.102,0.63,0.63,0.63,2lBdpDiteS,com.sec.android.app.shealth,0.63,554a58d7-310f-4a17-9522-0db8339c94b6,0bf6806c-7f5c-4c56-8f4d-b108fdd67044,0.63,
0.83,2019-01-12 06:06:13.100,2019-01-12 06:06:13.100,0.83,0.83,0.83,2lBdpDiteS,com.sec.android.app.shealth,0.83,63bd6ed2-09aa-44cf-968c-e064d5828811,aaf6ff85-e6c1-4999-a12c-6c54171ed860,0.83,
0.0,2021-03-03 10:30:55.426,2021-03-03 10:30:55.426,0.0,1.0,0.0,Nz95nEBsYs,com.sec.android.app.shealth,0.0,7c21043e-c816-45af-b0e3-be0825b80522,meal_quick_add,0.0,
0.79,2019-01-12 06:06:13.101,2019-01-12 06:06:13.101,0.79,0.79,0.79,2lBdpDiteS,com.sec.android.app.shealth,0.79,1a59e29e-f790-4e44-93d0-1b43a4a98cb8,0eb30675-ef78-412b-85a1-365070e41273,0.79,
