com.samsung.shealth.sleep_combined,6210049,1
original_efficiency,start_time,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,update_time,create_time,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,time_offset,extra_data,deviceuuid,sleep_cycle,efficiency,sleep_score,pkg_name,sleep_duration,end_time,datauuid
,2021-05-02 16:18:00.000,53.0,0,16,0,22,51,344,63,1,36,4,0,2021-05-02 22:33:31.910,2021-05-02 22:33:31.910,1,39.0,,25.0,,0,UTC+0900,,m6sL7dLFqc,3,84.0,43,com.sec.android.app.shealth,348,2021-05-02 22:31:00.000,8aa14c78-c6f6-439b-9698-41c847cc5fbc,
,2021-03-04 14:29:00.000,45.0,0,33,0,20,72,478,22,3,53,0,0,2021-03-04 23:00:55.090,2021-03-04 23:00:55.090,1,55.0,,26.0,,0,UTC+0900,,m6sL7dLFqc,5,84.0,46,com.sec.android.app.shealth,478,2021-03-04 22:47:00.000,b1f1abb5-db4a-493f-9d41-64536c1ff402,
,2021-09-10 16:00:00.000,25.0,42,42,1,35,65,447,184,3,40,0,0,2021-09-10 23:48:08.708,2021-09-10 21:03:49.158,1,63.0,,24.0,,0,UTC+0900,,m6sL7dLFqc,4,85.0,61,com.sec.android.app.shealth,447,2021-09-10 23:48:00.000,0958fe29-6ffc-436b-8ccb-5e12a75f3d0f,
,2021-05-04 15:47:00.000,65.0,0,0,2,20,55,459,96,1,28,0,0,2021-05-04 23:43:44.897,2021-05-04 23:43:44.897,1,46.0,,20.0,,0,UTC+0900,,m6sL7dLFqc,5,88.0,42,com.sec.android.app.shealth,459,2021-05-04 23:39:00.000,06a02f45-7913-4602-8d73-f4781005a62b,
,2021-09-12 15:43:00.000,63.0,35,56,9,17,29,387,152,1,24,0,0,2021-09-12 22:29:50.794,2021-09-12 22:29:50.794,1,62.0,,20.0,,0,UTC+0900,,m6sL7dLFqc,4,92.0,64,com.sec.android.app.shealth,387,2021-09-12 22:24:00.000,511032be-faf4-4ca4-ba63-fcfefcea1e63,
,2021-06-01 16:11:00.000,69.0,25,73,5,11,70,441,88,1,47,0,0,2021-06-01 23:37:13.319,2021-06-01 23:37:13.319,1,72.0,,32.0,,0,UTC+0900,,m6sL7dLFqc,4,84.0,72,com.sec.android.app.shealth,441,2021-06-01 23:37:00.000,8805e13b-66ba-449f-9d23-79c5623dc2be,
,2021-08-29 16:23:00.000,61.0,13,13,3,9,19,277,89,1,10,0,0,2021-08-29 21:24:36.942,2021-08-29 21:24:36.942,1,38.0,,14.0,,0,UTC+0900,,m6sL7dLFqc,2,93.0,55,com.sec.android.app.shealth,277,2021-08-29 21:24:00.000,8436ca21-3514-43ca-bb4f-484d379e9b29,
,2021-09-24 15:42:00.000,72.0,50,53,6,13,123,518,105,1,99,0,0,2021-09-25 00:32:00.062,2021-09-25 00:32:00.062,1,81.0,,49.0,,0,UTC+0900,,m6sL7dLFqc,5,76.0,79,com.sec.android.app.shealth,518,2021-09-25 00:31:00.000,bc76c54c-5c33-4e2b-aa1a-9ee6e744d5b9,
,2021-06-13 17:03:00.000,62.0,0,9,2,8,35,252,84,1,22,0,0,2021-06-13 21:41:53.977,2021-06-13 21:41:53.977,1,29.0,,25.0,,0,UTC+0900,,m6sL7dLFqc,2,86.0,41,com.sec.android.app.shealth,252,2021-06-13 21:25:00.000,85225470-242b-45a7-b506-2f2baa1a7a71,
,2021-09-26 15:32:00.000,64.0,29,29,7,11,24,348,183,1,10,0,0,2021-09-26 21:32:13.426,2021-09-26 21:32:13.426,1,49.0,,14.0,,0,UTC+0900,,m6sL7dLFqc,3,93.0,60,com.sec.android.app.shealth,348,2021-09-26 21:28:00.000,d5dbf998-352e-4f52-ab99-14c3a5ed3b48,
,2021-12-06 16:53:00.000,40.0,0,3,13,35,78,340,115,1,66,0,0,2021-12-06 22:54:04.351,2021-12-06 22:54:04.351,1,35.0,,54.0,,0,UTC+0900,,PkMNM+JAvu,3,77.0,40,com.sec.android.app.shealth,340,2021-12-06 22:53:00.000,d66c7fe8-707f-4301-868d-e6f7a5008b9c,
,2021-08-18 16:26:00.000,12.0,14,14,17,38,78,405,177,3,59,0,0,2021-08-18 23:21:34.266,2021-08-18 23:21:34.266,1,47.0,,43.0,,0,UTC+0900,,m6sL7dLFqc,2,80.0,43,com.sec.android.app.shealth,405,2021-08-18 23:19:00.000,6cb4840e-c910-430d-9570-a7ca5cd2ae28,
,2021-10-05 14:03:00.000,65.0,30,30,6,10,24,352,150,1,12,0,0,2021-10-05 21:13:02.310,2021-10-05 21:13:02.310,1,52.0,,14.0,,0,UTC+0900,,m6sL7dLFqc,3,93.0,65,com.sec.android.app.shealth,352,2021-10-05 21:12:00.000,f4a16ff4-7ad9-40ed-aed8-50751198c173,
